--******************************************************************************
-- IRS Version:       ACE2008A
-- BADA Version:      3.6
-- File name:         HMI_SUP_FLIGHT_INFO.DATA
-- Simulation:        ASM
-- Description:       simulation de devpt
-- Exercise:          SPIDY2
-- Airspace_env_name: ASMNEW
-- Meteo env name:    ASMNEW
-- Traffic sample:    SPEEDYD
-- Constraint config: ASMNEW
-- Architecture:      ASMNEW
-- Surveillance:      ASMNEW
-- Data validation:   V
-- Date and time:     12/02/10   08:29h
--******************************************************************************
130 QTR049 OBALA_SRN_7_E ""
131 HLX1MWA TULSI_TAQ1_7 ""
132 EZY87DL LOS_DITON_7_E ""
133 EZY645R LIPZ_DITON ""
134 AZA505 RJK_LIML_7_E ""
135 BAW2882 TRA_TIBLA_7 ""
136 GWKLM LIPZ_AMEMI ""
137 TAP536B KALMO_GBG_7 ""
138 NLY9138 ARLON_TALEP_7 ""
139 EZY267B RJK_LIMC_7_E ""
140 FIN1238 LIPR_KONIN ""
141 LUPO05 NORKI_LIPL ""
142 TRA784 PUL_AMEMI_7_4_E ""
143 LVG497B LIPE_PES2 ""
144 BEL6PL OSDOV_LIRQ ""
145 VELTRO1 LIPL_NORKI_2 ""
146 EZY25EP SRN_PES1 ""
147 AFR2686 G34 ""
148 AMC307 BADVI_TAQ_7 ""
149 BTI622 SRN_AMDID ""
150 TVF1180 MADEB_LDSP_7_4 ""
151 WZZ642L TZO_PALEZ_7 ""
152 BEL5RA OSDOV_PEMAR ""
153 DLH1852 SRN_PES1 ""
154 LVG417A LIPE_PES2 ""
155 SAS681 G2 ""
156 ACG48B RUPAX_DITON_7_X ""
157 FHE5522 GEN_UMSON ""
158 NJE489T G27 ""
159 VLK122B ABRUK_EVANO ""
160 EZY654F LIPZ_KONIN ""
161 REBEL4 LIPA_LIPA_01 ""
162 MGX160 G37 ""
163 LBT764A BOL_ASKOD_7_Y ""
164 TAR551 LOMRO_TAQ_7_4_2 ""
165 AFR1233 LOS_DITON_7_E ""
166 AFR598B LIPQ_DITON ""
167 DLH6GNB GITOD_BETOS ""
168 FIX64B ABRUK_TALEP ""
169 BEL4PB OSDOV_LIRQ ""
170 AOJ222B ABRUK_EVANO ""
171 CYP327 G23 ""
172 ADN215 ARPIK_ARLES_7_2 ""
173 BAT075A RUPAX_AMEMI_7_X ""
174 SAS690B LIML_KONIN ""
175 MSR714B LOS_DITON_7_E ""
176 MLM511A GEN_UMSON ""
177 VLK170A ABRUK_EVANO ""
178 ELY348 G14 ""
179 THY1806 GEN_UMSON ""
180 CYP358 G11 ""
181 TOM5EH G9 ""
182 MSR711A LOS_DITON_7_E ""
183 BTI8KCB TIBER_ASKOD_7_X ""
184 TCSCR LIML_PES ""
185 SAS682A BOL_KONIN ""
186 AFR511B LIPZ_TESTO ""
187 TRA6411 BEMKI_EMILY_7 ""
188 TAP865A DOL_LAGEN_7 ""
189 TVS864A LOMRO_TAQ_7_4_2 ""
190 BEL7YB OSDOV_PEMAR ""
191 NJE145B GIRDA_TAQ_7_E_Y ""
192 MSR785 G37 ""
193 ESK3JB GIRDA_EMILY_7_E_Y ""
194 BIE556A TRA_TIBLA_7 ""
195 OAL242 LIML_RUPAX ""
196 BER879A LIPZ_AMEMI ""
197 CNO716 SRN_KONIN ""
198 CSA724 LOMRO_LIRF_7_4_2 ""
199 TAR467A GIRDA_TAQ_7_E_Y ""
200 EZY573B LOMRO_EMILY_7_4 ""
201 ISS574 ARPIK_LIPX ""
202 BER4510 BADVI_TAQ_7 ""
203 FPO113B GEN_PES ""
204 BER886B LIPZ_AMEMI ""
205 TVS256B LOMRO_TAQ_7_4_2 ""
206 MEA210 G6 ""
207 BAW132 LOS_DITON_7_E ""
208 SDR582A BOL_KONIN ""
209 CCA968 SRN_ASKOD ""
210 EZY457A TULSI_LIRP_7 ""
211 TVS839B LOMRO_TAQ_7_4_2 ""
212 ELY324 G4 ""
213 TAP975B DOL_LAGEN_7 ""
214 CSA728 G28 ""
215 AZA554 G15 ""
216 AZA1558 LIPZ_TAQ_2 ""
217 SAS697B BOL_KONIN ""
218 EZY511A LOMRO_EMILY_7_4 ""
219 MGX721 BEMKI_ZDA_7_4 ""
220 TAY5830 RUPAX_AMEMI_01_7_X ""
221 NJE108A GIRDA_TAQ_7_E_Y ""
222 JAF774 LOS_DITON_7_E ""
223 AMC301H BADVI_TAQ_7 ""
224 CSA640A RUPAX_DITON_01_7 ""
225 AFL211A MONEB_ASKOD ""
226 BMA835A BEMKI_ZDA_7_4 ""
227 JET433B RJK_LIPK_7_2_E ""
228 BER5161 BOL_AMEMI ""
229 HLX37TA LIPZ_KONIN ""
230 GWLKA LIPZ_AMEMI ""
231 JET443A RJK_LIPK_7_2_E ""
232 SVA316A SRN_PALEZ_01_7 ""
233 AZA107A OSDOV_LIRF ""
234 LBT2077 TULSI_TAQ_002 ""
235 TAR117B GIRDA_TAQ_7_E_Y ""
236 DLH5PK BOL_BETOS ""
237 BER2741 G32 ""
238 SVW20TD MONEB_ASKOD ""
239 JXX303B SRN_PES ""
240 AMC309B BADVI_TAQ_7 ""
241 AFL234B MONEB_ASKOD ""
242 MSSSV MONEB_ASKOD ""
243 VLG2710 MONEB_AMDID ""
244 EZS197B BOL_AMEMI ""
245 N605GB LOS_DITON_7_E ""
246 CLA023 ARPIK_SRN_7_2 ""
247 AMC397 OSDOV_TAQ ""
248 HLX11TB LIPZ_KONIN ""
249 FHY885 G36 ""
250 TVF1375 G17 ""
251 NAX1873 BOL_KONIN ""
252 HLX9KWB TULSI_TAQ1_7 ""
253 RYR811B PUL_LIRP_7_E ""
254 AZA134B OSDOV_LIRF ""
255 N79711 RUPAX_TRA_7_4 ""
256 HLX8JW ARTUS_RUPAX_7_4 ""
257 JKK136 BADVI_EVANO ""
258 AEE832 G16 ""
259 VJS274 TZO_ASKOD ""
260 ERO5288 G19 ""
261 EZY877B TULSI_LIRP_7 ""
262 HLX10Y PUL_AMEMI_7_4_E ""
263 KQA116 EMILY_AMEMI_7_2 ""
264 TOM4AJ LOS_DITON_7_E ""
265 AFR978A LIPQ_DITON ""
266 RYR9787 UMSON_LIRP ""
267 SMX561A PES_LIML ""
268 TVS54J MONEB_AMDID ""
269 9KPHB GEN_PES ""
270 BMA844B BEMKI_ZDA_7_4 ""
271 MSR703A ARPIK_LIMC ""
272 TRA5423 OSDOV_LIRP ""
273 CTN477A TRA_TIBLA_7 ""
274 EZS111A GITOD_DITON ""
275 JET477A TULSI_LIPK_7 ""
276 OPJ401 MAREL_ASKOD_7_2 ""
277 HLX45EA GITOD_AMEMI ""
278 TVS315 MONEB_ASKOD ""
279 EZY211E GEN_VELIM ""
280 LOT313A GIRDA_LIRF_7_E_Y ""
281 ELY669B TRA_TIBLA_7 ""
282 RYR125B LIPY_AMEMI_7 ""
283 RYR887A PUL_LIRP_7_E ""
284 AZA491 GIRDA_LIRF_7_E_Y ""
285 RYR864A LIPH_VELAD ""
286 9KPCA GEN_PES ""
287 AFR173B TRA_TIBLA_7 ""
288 LBY111B UMSON_LIRQ ""
289 LOT317U GIRDA_LIRF_7_E_Y ""
290 CYP429B SRN_ZDA_7 ""
291 LBY271A UMSON_LIRQ ""
292 BER2340 MADEB_ZDA1_7_4 ""
293 EZY6212 LOS_AMEMI_7_4_E ""
294 NLY8467 TIBER_BALAD_7_X ""
295 SERGS BADVI_EVANO ""
296 DBK178B PUL_ARLES_7_E ""
297 HLX43JB GITOD_AMEMI ""
298 TOM7LH LOS_DITON_7_E ""
299 EZY5462 OBALA_DITON_7_E ""
300 JET197B TULSI_LIPK_7 ""
301 AFL274B MONEB_ASKOD ""
302 TOM2EK LIPZ_DITON ""
303 DBK124A PUL_ARLES_7_E ""
304 BAW639 LOS_DITON_7_E ""
305 EZY772A LOS_DITON_7_E ""
