1000 V ASMNEW  4515N   01259E 1910 02 12 08:29:00  01 01 ASM   SPIDY2           
1100   01      000 999 ATC1                                                     
1200   ETOXU   4743N33 00933E02         NY Y                                    
1200   EVANO   4520N15 00845E39         NY Y                                    
1200   F1      4539N14 01251E06         NY Y                                    
1200   F2      4539N16 01251E08         NN N                                    
1200   F3      4551N02 01239E02         NN N                                    
1200   FER     4448N52 01136E59         NY Y                                    
1200   FER2    4448N53 01136E58         NY Y                                    
1200   FOR     4414N53 01155E29         NY Y                                    
1200   FRZ     4401N38 01100E43         NY Y                                    
1200   G1      4546N35 01210E13         NY Y                                    
1200   GAPRI   4341N41 01548E01         NY Y                                    
1200   GARGA   4216N00 01607E00         NY Y                                    
1200   GAZ     4512N06 01036E15         NY Y                                    
1200   GBG     4653N13 01548E01         NY Y                                    
1200   GEN     4425N28 00904E56         NY Y                                    
1200   GERBU   4320N39 01337E26         NY Y                                    
1200   GERSA   4702N22 00831E56         NY Y                                    
1200   GIBLO   4521N30 00952E00         NY Y                                    
1200   GIGGI   4609N15 01025E49         NY Y                                    
1200   GINAR   4337N57 01048E58         NY Y                                    
1200   GIRDA   4528N32 01408E02         NY Y                                    
1200   GIRIS   4646N18 01053E03         NY Y                                    
1200   GISER   4503N43 01510E26         NN N                                    
1200   GITOD   4248N01 01218E39         NY Y                                    
1200   GOLVA   4642N32 01539E09         NY Y                                    
1200   GOREP   4455N06 01205E59         NY Y                                    
1200   GRZ     4657N19 01526E58         NY Y                                    
1200   GUBIN   4329N13 01246E27         NY Y                                    
1200   GUI     4159N59 01244E20         NY Y                                    
1200   H1      4616N56 01157E12         NY Y                                    
1200   HS26    4413N46 01220E46         NN N                                    
1200   HS49    4617N58 01231E45         NN N                                    
1200   HS78    4416N08 01308E09         NN N                                    
1200   HSSP    4356N35 01416E53         NN N                                    
1200   I1      4435N25 01222E27         NY Y                                    
1200   I2      4435N26 01222E28         NN N                                    
1200   I3      4435N27 01222E29         NN N                                    
1200   IBENI   4400N51 01355E18         NY Y                                    
1200   INBUT   4524N48 01155E03         NY Y                                    
1200   INN     4713N48 01124E07         NY Y                                    
1200   IPINO   4542N26 01317E03         NY Y                                    
1200   IRBIR   4733N59 01106E13         NY Y                                    
1200   IXITO   4408N05 00848E13         NY Y                                    
1200   IXONA   4450N44 01332E56         NY Y                                    
1200   IXORA   4550N12 00835E20         NY Y                                    
1200   IXUSI   4326N19 01143E51         NY Y                                    
1200   J1      4357N34 01252E36         NY Y                                    
1200   J2      4357N36 01252E38         NN Y                                    
1200   J3      4357N37 01253E38         NN Y                                    
1200   K1      4404N22 01225E00         NY Y                                    
1200   K2      4404N26 01226E02         NN Y                                    
1200   K3      4404N25 01226E01         NN Y                                    
1200   KALIK   4428N06 00950E53         NY Y                                    
1200   KALMO   4419N18 00935E39         NY Y                                    
1200   KAMPA   4523N24 01000E00         NY Y                                    
1200   KARPI   4429N03 01009E45         YY Y                                    
1200   KATAR   4303N06 01240E40         NY Y                                    
1200   KELIP   4657N22 00845E42         NY Y                                    
1200   KOGOL   4737N20 01123E59         NY Y                                    
1200   KOLUL   4728N02 00849E22         NY Y                                    
1200   KONIN   4751N21 01122E05         NY Y                                    
1200   KOPER   4509N14 01138E29         NY Y                                    
1200   KOREX   4446N16 01546E09         NY Y                                    
1200   KOTOR   4526N28 01534E20         NY Y                                    
1200   KPT     4744N45 01020E59         NY Y                                    
1200   KREVA   4446N28 01114E06         NY Y                                    
1200   KUDES   4731N15 00851E26         NY Y                                    
1200   KULEN   4509N55 01508E01         NY Y                                    
1200   L1      4440N00 01235E00         NY Y                                    
1200   L2      4440N02 01235E02         NY Y                                    
1200   L3      4440N04 01235E04         NY Y                                    
1200   LABIN   4459N09 01305E29         NY Y                                    
1200   LAGEN   4423N39 00829E53         NY Y                                    
1200   LAGUS   4538N25 01310E37         NY Y                                    
1200   LAKOL   4804N16 01200E53         NY Y                                    
1200   LAMPO   4606N21 01142E05         NY Y                                    
1200   LANLI   4357N26 01310E50         NY Y                                    
1200   LANNO   4220N31 01353E18         NY Y                                    
1200   LAPAB   4531N46 01158E18         NY Y                                    
1200   LAPNA   4632N08 01531E14         NY Y                                    
1200   LAREN   4516N41 01203E42         NY Y                                    
1200   LASEB   4359N25 01113E24         NY Y                                    
1200   LDRI    4513N01 01434E13         NY Y                                    
1200   LDSP    4332N20 01617E53         NY Y                                    
1200   LDZD    4406N30 01520E48         NY Y                                    
1200   LEGLO   4539N01 00946E10         NY Y                                    
1200   LEONN   4317N42 01302E12         NY Y                                    
1200   LESAN   4446N30 00848E44         NY Y                                    
1200   LIKDA   4701N01 01145E03         NY Y                                    
1200   LIMC    4537N51 00843E27         NY Y                                    
1200   LIME    4540N12 00942E05         NY Y                                    
1200   LIML    4527N01 00916E46         NY Y                                    
1200   LIPA    4601N54 01235E54         NY Y                                    
1200   LIPAX   4601N55 01235E55         NY Y                                    
1200   LIPE    4431N50 01117E33         NY Y                                    
1200   LIPH    4539N06 01211E56         NY Y                                    
1200   LIPK    4411N42 01204E11         NY Y                                    
1200   LIPL    4526N00 01016E00         NY Y                                    
1200   LIPLX   4526N01 01016E01         NY Y                                    
1200   LIPQ    4549N36 01328E20         NY Y                                    
1200   LIPR    4401N15 01236E44         NY Y                                    
1200   LIPS    4541N00 01206E00         NY Y                                    
1200   LIPX    4523N43 01053E15         NY Y                                    
1200   LIPY    4336N55 01321E45         NY Y                                    
1200   LIPZ    4530N00 01221E00         NY Y                                    
1200   LIRA    4147N55 01235E42020R 060 NY Y                                    
1200   LIRF    4148N40 01215E09         NY Y                                    
1200   LIRP    4341N59 01023E40         NY Y                                    
1200   LIRQ    4348N35 01112E14         NY Y                                    
1200   LISKO   4334N17 01407E56         NY Y                                    
1200   LIZUM   4706N54 01145E22         NY Y                                    
1200   LOBSI   4454N18 01210E21         NY Y                                    
1200   LOMRO   4744N00 01221E28         NY Y                                    
1200   LORLO   4643N27 01040E44         NY Y                                    
1200   LOS     4431N38 01428E22         NY Y                                    
1200   LOWS    4747N42 01300E14         NY Y                                    
1200   LSZA    4600N13 00854E37         NY Y                                    
1200   LSZH    4727N30 00832E53         NY Y                                    
1200   LUPOS   4430N17 01034E53         NY Y                                    
1200   LUSIL   4602N35 01007E00         NY Y                                    
1200   LUSIN   4533N10 01545E08         NY Y                                    
1200   LUTOR   4429N17 01121E39         NY Y                                    
1200   M1      4357N25 01310E51         NY Y                                    
1200   M2      4357N27 01310E52         NY Y                                    
1200   MADEB   4719N27 01017E19         NY Y                                    
1200   MALUG   4642N22 01235E51         NY Y                                    
1200   MAMTO   4518N59 01012E44         NY Y                                    
1200   MANAL   4753N58 01148E00         NY Y                                    
1200   MANEG   4712N15 00843E20         NY Y                                    
1200   MAREL   4316N55 01039E05         NY Y                                    
1200   MASEG   4324N46 01344E58         NY Y                                    
1200   MATAR   4658N30 01115E12         NY Y                                    
1200   MAXIM   4501N26 01004E50         NY Y                                    
1200   MAXUR   4544N45 01454E37         NY Y                                    
1200   MEBUR   4445N35 00910E18         NY Y                                    
1200   MEDAL   4203N10 01122E35         NY Y                                    
1200   MINTU   4420N24 01441E44         NY Y                                    
1200   MMP     4538N27 00844E05         NY Y                                    
1200   MOGTI   4723N20 01043E01         NY Y                                    
1200   MOMOL   4727N42 00840E16         NY Y                                    
1200   MOMUK   4750N19 00959E49         NY Y                                    
1200   MONEB   4437N35 00915E02         NY Y                                    
1200   MONFA   4529N14 01316E45         NY Y                                    
1200   N1      4410N25 01210E43         NY Y                                    
1200   N2      4410N27 01210E46         NN N                                    
1200   N3      4410N28 01210E46         NN N                                    
1200   NAKIT   4511N17 01326E52         NY Y                                    
1200   NANIS   4547N28 01401E59         YY Y                                    
1200   NATAG   4651N29 01037E08         NY Y                                    
1200   NEGRA   4743N20 00925E38         NY Y                                    
1200   NESES   4732N53 01033E17         NY Y                                    
1200   NESTI   4548N14 01025E37         NY Y                                    
1200   NIDLO   4648N15 01559E44         NY Y                                    
1200   NIGEB   4705N21 01104E37         NY Y                                    
1200   NIGSI   4722N09 01602E10         NY Y                                    
1200   NIKEL   4607N00 01206E00         NY Y                                    
1200   NIKMA   4303N59 01210E49         NY Y                                    
1200   NIKOL   4413N19 01341E10         NY Y                                    
1200   NIMDU   4710N19 01446E57         NY Y                                    
1200   NIVAS   4554N00 01216E53         NY Y                                    
1200   NORIN   4723N12 01124E08         NY Y                                    
1200   NORKI   4304N47 01319E43         NY Y                                    
1200   NORTO   4715N59 01115E07         NY Y                                    
1200   NOV     4525N27 00847E38         NY Y                                    
1200   NUTRO   4309N36 01408E57         NY Y                                    
1200   OBAGA   4732N50 01115E05         NY Y                                    
1200   OBALA   4455N13 01458E21         NY Y                                    
1200   OBIKA   4806N44 01132E49         NY Y                                    
1200   OBIXO   4757N23 01125E25         NY Y                                    
1200   OGEPI   4647N14 01121E20         NY Y                                    
1200   OLKIS   4355N33 01022E13         NY Y                                    
1200   OLPIX   4701N02 01141E25         NY Y                                    
1200   ORI     4538N38 00950E30         NY Y                                    
1200   OSDOV   4726N24 01010E59         NY Y                                    
1200   OSKOR   4538N57 01007E00         NY Y                                    
1200   OSMOT   4640N59 01534E50         NY Y                                    
1200   OSPEN   4729N07 01531E38         NY Y                                    
1200   OSTEG   4510N43 01108E20         NY Y                                    
1200   OTRES   4701N24 01044E33         NY Y                                    
1200   PALEZ   4434N30 01531E59         NY Y                                    
1200   PAR     4449N20 01017E36         NY Y                                    
1200   PELAD   4635N56 00943E33         NY Y                                    
1200   PELEG   4413N40 01144E07         NY Y                                    
1200   PEMAR   4201N47 01255E10         NY Y                                    
1200   PENNY   4551N00 01239E00         NY Y                                    
1200   PEPAG   4559N02 00904E17         NY Y                                    
1200   PES     4226N10 01411E04         NY Y                                    
1200   PEVAL   4518N41 01314E51         NY Y                                    
1200   PIDEP   4349N04 01213E03         NY Y                                    
1200   PINIK   4552N27 00850E56         NY Y                                    
1200   PINOB   4714N58 00827E03         NY Y                                    
1200   PIPOS   4440N56 01130E46         NY Y                                    
1200   PIS     4340N38 01023E26         NY Y                                    
1200   PODET   4610N17 01537E36         NY Y                                    
1200   POLYP   4228N42 01512E09         NY Y                                    
1200   PREKI   4252N39 01307E09         NY Y                                    
1200   PUBEG   4730N40 01539E43         NY Y                                    
1200   PUL     4453N33 01355E05         NY Y                                    
1200   RADLY   4638N49 01512E33         NY Y                                    
1200   RAVED   4743N45 00940E10         NY Y                                    
1200   RENTA   4618N20 01051E49         NY Y                                    
1200   RESIA   4628N42 01002E36         NY Y                                    
1200   RESPU   4341N01 01133E36         NY Y                                    
1200   RI      4508N15 01439E11         NY Y                                    
1200   RIFEN   4551N04 01335E23         NY Y                                    
1200   RIGON   4519N03 00858E44         NY Y                                    
1200   RIPUS   4715N37 00830E00         NY Y                                    
1200   RIVAM   4229N57 01546E22         NY Y                                    
1200   RJK     4513N27 01434E01         NY Y                                    
1200   ROBAS   4511N37 00943E34         NY Y                                    
1200   RODRU   4540N15 00923E36         NY Y                                    
1200   ROKIB   4556N08 01141E32         NY Y                                    
1200   ROLSA   4717N23 00853E21         NY Y                                    
1200   RONAG   4646N46 01015E32         NY Y                                    
1200   ROPAG   4712N49 01547E58         NY Y                                    
1200   ROSKA   4518N51 01251E42         NY Y                                    
1200   ROTAR   4515N46 01259E44         NY Y                                    
1200   ROTAX   4758N39 01223E03         NY Y                                    
1200   ROTIN   4756N34 01214E47         NY Y                                    
1200   ROVIG   4455N26 01153E51         NY Y                                    
1200   RTT     4725N51 01156E24         NY Y                                    
1200   RUNIM   4329N52 01212E06         NY Y                                    
1200   RUPAX   4218N03 01528E18         NY Y                                    
1200   RUXOL   4406N55 01035E35         NY Y                                    
1200   SAL     4356N16 01510E05         NY Y                                    
1200   SALSO   4452N15 00943E27         NY Y                                    
1200   SONOM   4747N03 00853E46         NY Y                                    
1200   SOPER   4653N22 00856E40         NY Y                                    
1200   SOTOV   4656N38 01112E38         NY Y                                    
1200   SPL     4333N07 01618E14         NN N                                    
1200   SRN     4538N45 00901E18         NY Y                                    
1200   SUDUX   4656N42 01100E31         NY Y                                    
1200   SUMIR   4615N32 01121E35         NY Y                                    
1200   SUXAN   4633N44 01028E45         NY Y                                    
1200   TAGIP   4556N01 01041E24         NY Y                                    
1200   TAKUP   4319N48 01211E36         NY Y                                    
1200   TALEP   4327N44 00842E44         NY Y                                    
1200   TAQ     4212N54 01143E57         NY Y                                    
1200   TESTO   4435N50 00839E56         NY Y                                    
1200   TIBER   4214N56 01235E56         NY Y                                    
1200   TIBLA   4304N29 01600E24         NY Y                                    
1200   TIDON   4505N08 00936E50         NY Y                                    
1200   TIRUL   4703N26 01031E43         NY Y                                    
1200   TITIX   4751N30 00823E48         NY Y                                    
1200   TOBAD   4743N58 01212E30         NY Y                                    
1200   TOBSO   4700N58 01151E27         NY Y                                    
1200   TORPO   4333N51 01425E29         NY Y                                    
1200   TRA     4741N22 00826E13         NY Y                                    
1200   TRAUN   4758N29 01235E15         NY Y                                    
1200   TRE     4537N21 01205E44         NY Y                                    
1200   TUKDI   4700N41 01542E55         NY Y                                    
1200   TULIK   4517N02 01247E21         NY Y                                    
1200   TULSI   4742N06 01147E20         NY Y                                    
1200   TURBU   4754N51 01156E55         NY Y                                    
1200   TUTAL   4657N03 01104E09         NY Y                                    
1200   TZO     4533N33 00930E26         NY Y                                    
1200   UMBED   4313N01 01223E29         NY Y                                    
1200   UMBEK   4532N40 01325E11         NY Y                                    
1200   UMBIL   4721N12 01536E04         NY Y                                    
1200   UMSON   4331N09 01546E03         NY Y                                    
1200   UNIMI   4651N39 01103E55         NY Y                                    
1200   URBAN   4347N38 01220E54         NY Y                                    
1200   UTENO   4315N03 01340E56         NY Y                                    
1200   VAKON   4528N41 01000E00         NY Y                                    
1200   VALAV   4640N36 01020E25         NY Y                                    
1200   VALEN   4356N14 01131E59         NY Y                                    
1200   VALLU   4617N30 01520E11         NY Y                                    
1200   VAPIX   4338N01 01259E03         NY Y                                    
1200   VAVOR   4756N03 01209E16         NY Y                                    
1200   VEBEG   4724N30 00939E07         NY Y                                    
1200   VELAD   4203N06 01045E49         NY Y                                    
1200   VELIM   4208N32 01315E55         NY Y                                    
1200   VERCE   4516N47 00839E09         NY Y                                    
1200   VERNA   4344N32 01149E54         NY Y                                    
1200   VERUN   4316N53 01155E17         NY Y                                    
1200   VESAL   4623N24 01142E59         NY Y                                    
1200   VIC     4538N14 01140E35         NY Y                                    
1200   VIL     4524N28 01054E22         NY Y                                    
1200   VIW     4641N47 01354E53         NY Y                                    
1200   VOG     4457N52 00858E13         NY Y                                    
1200   XANUT   4706N59 01554E43         NY Y                                    
1200   XEBIX   4724N00 01028E48         NY Y                                    
1200   Y2KLO   4726N26 00900E47         NY Y                                    
1200   Y3MAL   4543N27 00852E02         NY Y                                    
1200   Y5PIS   4343N51 01028E44         NY Y                                    
1200   Y7MAL   4542N39 00845E03         NY Y                                    
1200   YLITL   4721N24 01002E44         NY Y                                    
1200   YSI     4749N07 01259E16         NY Y                                    
1200   ZDA     4405N43 01521E51         NY Y                                    
1401   A101    VIC             BORMI     10                                     
1400   A101    BORMI           DIBAX     10                                     
1400   A101    DIBAX           RENTA     10                                     
1400   A101    RENTA           SUXAN     10                                     
1400   A101    SUXAN           VALAV     10                                     
1400   A101    VALAV           RONAG     10                                     
1400   A101    RONAG           VEBEG     10                                     
1401   A102    FER             ADOSA     10                                     
1400   A102    ADOSA           RENTA     10                                     
1400   A102    RENTA           LORLO     10                                     
1400   A102    LORLO           NATAG     10                                     
1401   A103    ANC             GOREP     10                                     
1400   A103    GOREP           ADOSA     10                                     
1400   A103    ADOSA           ALBET     10                                     
1400   A103    ALBET           CHI       10                                     
1401   A104    BZO             BRENO     10                                     
1401   A106    PUL             LABIN     10                                     
1400   A106    LABIN           AGOMO     10                                     
1400   A106    AGOMO           CHI       10                                     
1400   A106    CHI             KOPER     10                                     
1400   A106    KOPER           OSTEG     10                                     
1401   A107    BELOV           CHI       10                                     
1401   A108    URBAN           FER       10                                     
1401   A_1     DORAV           GEN       10                                     
1400   A_1     GEN             MONEB     10                                     
1400   A_1     MONEB           ROBAS     10                                     
1400   A_1     ROBAS           GIBLO     10                                     
1400   A_1     GIBLO           OSKOR     10                                     
1400   A_1     OSKOR           NESTI     10                                     
1400   A_1     NESTI           TAGIP     10                                     
1400   A_1     TAGIP           DIBAX     10                                     
1400   A_1     DIBAX           SUMIR     10                                     
1400   A_1     SUMIR           ALESE     10                                     
1400   A_1     ALESE           VESAL     10                                     
1400   A_1     VESAL           MALUG     10                                     
1400   A_1     MALUG           ELKAT     10                                     
1400   A_1     ELKAT           NIMDU     10                                     
1400   A_1     NIMDU           ASKOD     10                                     
1401   A_10    URBAN           PELEG     10                                     
1400   A_10    PELEG           LUTOR     10                                     
1400   A_10    LUTOR           BOA       10                                     
1400   A_10    BOA             KREVA     10                                     
1400   A_10    KREVA           BENUS     10                                     
1400   A_10    BENUS           OSTEG     10                                     
1400   A_10    OSTEG           GAZ       10                                     
1401   A_11    CIA             PEMAR     10                                     
1400   A_11    PEMAR           ANEDA     10                                     
1400   A_11    ANEDA           LANNO     10                                     
1400   A_11    LANNO           PES       10                                     
1400   A_11    PES             UTENO     10                                     
1400   A_11    UTENO           GERBU     10                                     
1400   A_11    GERBU           ANC       10                                     
1400   A_11    ANC             BUSER     10                                     
1400   A_11    BUSER           NIKOL     10                                     
1400   A_11    NIKOL           ALIVO     10                                     
1400   A_11    ALIVO           MAXUR     10                                     
1400   A_11    MAXUR           VALLU     10                                     
1401   A_12    Y7MAL           Y3MAL     10                                     
1400   A_12    Y3MAL           SRN       10                                     
1400   A_12    SRN             PAR       10                                     
1400   A_12    PAR             VALEN     10                                     
1400   A_12    VALEN           VERNA     10                                     
1400   A_12    VERNA           PREKI     10                                     
1400   A_12    PREKI           PES       10                                     
1400   A_12    PES             NORKI     10                                     
1400   A_12    NORKI           LEONN     10                                     
1400   A_12    LEONN           GUBIN     10                                     
1400   A_12    GUBIN           URBAN     10                                     
1400   A_12    URBAN           ANC       10                                     
1400   A_12    ANC             MASEG     10                                     
1400   A_12    MASEG           NUTRO     10                                     
1400   A_12    NUTRO           ARPIK     10                                     
1400   A_12    ARPIK           POLYP     10                                     
1400   A_12    POLYP           RUPAX     10                                     
1401   A_13    ESISO           OSDOV     10                                     
1400   A_13    OSDOV           MADEB     10                                     
1400   A_13    MADEB           TIRUL     10                                     
1400   A_13    TIRUL           NATAG     10                                     
1400   A_13    NATAG           LORLO     10                                     
1400   A_13    LORLO           RENTA     10                                     
1400   A_13    RENTA           ADOSA     10                                     
1400   A_13    ADOSA           FER       10                                     
1400   A_13    FER             VALEN     10                                     
1400   A_13    VALEN           RESPU     10                                     
1400   A_13    RESPU           AMTEL     10                                     
1400   A_13    AMTEL           TAQ       10                                     
1401   A_14    TRE             VIC       10                                     
1400   A_14    VIC             BORMI     10                                     
1400   A_14    BORMI           DIBAX     10                                     
1400   A_14    DIBAX           SUXAN     10                                     
1400   A_14    SUXAN           VALAV     10                                     
1400   A_14    VALAV           RONAG     10                                     
1400   A_14    RONAG           ARGAX     10                                     
1400   A_14    ARGAX           ELMUR     10                                     
1400   A_14    ELMUR           ROLSA     10                                     
1400   A_14    ROLSA           KUDES     10                                     
1400   A_14    KUDES           SONOM     10                                     
1401   A_15    ADOSA           OSTEG     10                                     
1400   A_15    OSTEG           KREVA     10                                     
1400   A_15    KREVA           BOA       10                                     
1400   A_15    BOA             VALEN     10                                     
1400   A_15    VALEN           BAGNO     10                                     
1400   A_15    BAGNO           PIDEP     10                                     
1400   A_15    PIDEP           URBAN     10                                     
1400   A_15    URBAN           GUBIN     10                                     
1400   A_15    GUBIN           LEONN     10                                     
1400   A_15    LEONN           NORKI     10                                     
1400   A_15    NORKI           PES       10                                     
1401   A_16    AMTEL           BOL       10                                     
1400   A_16    BOL             TIBER     10                                     
1400   A_16    TIBER           CMP       10                                     
1401   A_17    FOR             FER       10                                     
1400   A_17    FER             ROVIG     10                                     
1400   A_17    ROVIG           CHI       10                                     
1400   A_17    CHI             TULIK     10                                     
1400   A_17    TULIK           ROSKA     10                                     
1400   A_17    ROSKA           MONFA     10                                     
1400   A_17    MONFA           UMBEK     10                                     
1400   A_17    UMBEK           BARPI     10                                     
1400   A_17    BARPI           DOL       10                                     
1400   A_17    DOL             VALLU     10                                     
1400   A_17    VALLU           LAPNA     10                                     
1400   A_17    LAPNA           GOLVA     10                                     
1400   A_17    GOLVA           GBG       10                                     
1400   A_17    GBG             XANUT     10                                     
1401   A_18    CHI             BELOV     10                                     
1400   A_18    BELOV           URBAN     10                                     
1400   A_18    URBAN           RUNIM     10                                     
1400   A_18    RUNIM           TAKUP     10                                     
1400   A_18    TAKUP           NIKMA     10                                     
1400   A_18    NIKMA           BOL       10                                     
1400   A_18    BOL             TAQ       10                                     
1401   A_19    TURBU           BADVI     10                                     
