LIMC;45.630833;8.724167
LIME;45.669998;9.701389
LIML;45.450279;9.279445
LIPA;46.031666;12.598333
LIPAX;46.031944;12.598611
LIPE;44.530556;11.292500
LIPH;45.651669;12.198889
LIPK;44.195000;12.069722
LIPL;45.433334;10.266666
LIPLX;45.433613;10.266945
LIPQ;45.826668;13.472222
LIPR;44.020832;12.612223
LIPS;45.683334;12.100000
LIPX;45.395279;10.887500
LIPY;43.615276;13.362500
LIPZ;45.500000;12.350000
LIRA;41.798611;12.595000
LIRF;41.811111;12.252500
LIRP;43.699722;10.394444
LIRQ;43.809723;11.203889
LISKO;43.571388;14.132222
LIZUM;47.115002;11.756111
LOBSI;44.904999;12.172500
LOMRO;47.733334;12.357778
LORLO;46.724167;10.678889
LOS;44.527222;14.472777
LOWS;47.794998;13.003889
LSZA;46.003613;8.910277
LSZH;47.458332;8.548056
LUPOS;44.504723;10.581388
LUSIL;46.043056;10.116667
LUSIN;45.552776;15.752222
LUTOR;44.488056;11.360833
M1;43.956944;13.180833
M2;43.957500;13.181111
MADEB;47.324165;10.288611
MALUG;46.706112;12.597500
MAMTO;45.316387;10.212222
MANAL;47.899445;11.800000
MANEG;47.204166;8.722222
MAREL;43.281944;10.651389
MASEG;43.412777;13.749444
MATAR;46.974998;11.253333
MAXIM;45.023888;10.080556
MAXUR;45.745834;14.910277
MEBUR;44.759724;9.171667
MEDAL;42.052776;11.376389
MINTU;44.340000;14.695556
MMP;45.640835;8.734722
MOGTI;47.388889;10.716945
MOMOL;47.461666;8.671111
MOMUK;47.838612;9.996944
MONEB;44.626389;9.250556
MONFA;45.487221;13.279166
N1;44.173611;12.178611
N2;44.174168;12.179444
N3;44.174446;12.179444
NAKIT;45.188057;13.447778
NANIS;45.791111;14.033055
NATAG;46.858055;10.618889
NEGRA;47.722221;9.427222
NESES;47.548054;10.554722
NESTI;45.803890;10.426945
NIDLO;46.804165;15.995556
NIGEB;47.089169;11.076944
NIGSI;47.369167;16.036112
NIKEL;46.116665;12.100000
NIKMA;43.066387;12.180278
NIKOL;44.221943;13.686111
NIMDU;47.171944;14.782500
NIVAS;45.900002;12.281389
NORIN;47.386665;11.402223
NORKI;43.079723;13.328611
NORTO;47.266388;11.251945
NOV;45.424168;8.793889
NUTRO;43.160000;14.149167
OBAGA;47.547222;11.251389
OBALA;44.920277;14.972500
OBIKA;48.112221;11.546945
OBIXO;47.956390;11.423611
OGEPI;46.787224;11.355556
OLKIS;43.925835;10.370277
OLPIX;47.017223;11.690278
ORI;45.643890;9.841666
OSDOV;47.439999;10.183056
OSKOR;45.649166;10.116667
OSMOT;46.683056;15.580556
OSPEN;47.485279;15.527223
OSTEG;45.178612;11.138889
OTRES;47.023335;10.742500
PALEZ;44.575001;15.533055
PAR;44.822224;10.293333
PELAD;46.598888;9.725833
PELEG;44.227779;11.735278
PEMAR;42.029724;12.919444
PENNY;45.849998;12.650000
PEPAG;45.983891;9.071389
PES;42.436111;14.184444
PEVAL;45.311390;13.247500
PIDEP;43.817780;12.217500
PINIK;45.874168;8.848889
PINOB;47.249443;8.450833
PIPOS;44.682220;11.512777
PIS;43.677223;10.390555
PODET;46.171391;15.626667
POLYP;42.478333;15.202500
PREKI;42.877499;13.119166
PUBEG;47.511112;15.661944
PUL;44.892502;13.918056
RADLY;46.646946;15.209167
RAVED;47.729168;9.669444
RENTA;46.305557;10.863611
RESIA;46.478333;10.043333
RESPU;43.683613;11.560000
RI;45.137501;14.653055
RIFEN;45.851112;13.589723
RIGON;45.317501;8.978889
RIPUS;47.260277;8.500000
RIVAM;42.499168;15.772778
RJK;45.224167;14.566944
ROBAS;45.193611;9.726111
RODRU;45.670834;9.393333
ROKIB;45.935555;11.692223
ROLSA;47.289722;8.889167
RONAG;46.779446;10.258889
ROPAG;47.213612;15.799444
ROSKA;45.314167;12.861667
ROTAR;45.262779;12.995556
ROTAX;47.977501;12.384167
ROTIN;47.942780;12.246388
ROVIG;44.923889;11.897500
RTT;47.430832;11.940000
RUNIM;43.497776;12.201667
RUPAX;42.300835;15.471666
RUXOL;44.115276;10.593056
SAL;43.937778;15.168056
SALSO;44.870834;9.724167
SONOM;47.784168;8.896111
SOPER;46.889446;8.944445
SOTOV;46.943890;11.210556
SPL;43.551945;16.303888
SRN;45.645832;9.021667
SUDUX;46.945000;11.008611
SUMIR;46.258888;11.359722
SUXAN;46.562222;10.479167
TAGIP;45.933613;10.690000
TAKUP;43.330002;12.193334
TALEP;43.462223;8.712222
TAQ;42.215000;11.732500
TESTO;44.597221;8.665556
TIBER;42.248890;12.598889
TIBLA;43.074722;16.006666
TIDON;45.085556;9.613889
TIRUL;47.057220;10.528611
TITIX;47.858334;8.396667
TOBAD;47.732777;12.208333
TOBSO;47.016109;11.857500
TORPO;43.564167;14.424723
TRA;47.689445;8.436944
TRAUN;47.974724;12.587500
TRE;45.622501;12.095555
TUKDI;47.011391;15.715278
TULIK;45.283890;12.789166
TULSI;47.701668;11.788889
TURBU;47.914165;11.948611
TUTAL;46.950832;11.069167
TZO;45.559166;9.507222
UMBED;43.216946;12.391389
UMBEK;45.544445;13.419723
UMBIL;47.353333;15.601111
UMSON;43.519165;15.767500
UNIMI;46.860832;11.065278
URBAN;43.793888;12.348333
UTENO;43.250832;13.682222
VAKON;45.478054;10.000000
VALAV;46.676666;10.340278
VALEN;43.937222;11.533055
VALLU;46.291668;15.336389
VAPIX;43.633610;12.984167
VAVOR;47.934166;12.154445
VEBEG;47.408333;9.651944
VELAD;42.051666;10.763611
VELIM;42.142223;13.265278
VERCE;45.279724;8.652500
VERNA;43.742222;11.831667
VERUN;43.281387;11.921389
VESAL;46.389999;11.716389
VIC;45.637222;11.676389
VIL;45.407776;10.906111
VIW;46.696388;13.914722
VOG;44.964443;8.970278
XANUT;47.116390;15.911944
XEBIX;47.400002;10.480000
Y2KLO;47.440556;9.013056
Y3MAL;45.724167;8.867222
Y5PIS;43.730835;10.478889
Y7MAL;45.710835;8.750834
YLITL;47.356667;10.045555
YSI;47.818611;12.987778
ZDA;44.095276;15.364166
ACBA1;44.820835;12.761945
ACBA2;44.766666;13.500000
ACBA3;44.567501;13.707222
ACBA4;44.306389;14.166389
ACBA5;43.732777;14.908055
ACBA6;43.741665;14.133333
ACBA7;43.842777;13.529166
C100;43.774166;13.219722
C101;44.886112;12.215834
C102;44.734444;11.833611
C103;44.293888;11.926666
C104;43.916668;12.514444
C105;43.840279;12.907778
C119;45.575001;12.971389
C120;45.588055;12.833333
