3000 V SPEEDYD ASMNEW  1018  030       1910 02 12 08:29:00ASM  SPIDY2            
3090 Flight_Time: 00:00:00 , Distance: 000.0, Fuel_Burn: 0.00
3100   101800  AFL429B A320                    A320                              
3101           AFL429B         UUEE                                              
3102           AFL429B         LEBL                                              
3103           AFL429B S ISM   0300/A  C  M   A350     350                       
3104           AFL429B         350                                               
3233 point route   rfl rrrrrr xxxxxxx yyyyyyy latitud longitud  hhmmss  afl cfl tas > cas mach  rate hdg co ns sector co_team  dist    mass  applied_constraint_1 applied_constraint_2
3233 LESAN         320      0    0.00    0.00 444630N 0084842E  101942  320 320 432   267 0.74     0 030  0  0 FWEST  31        13.2   55288                                          
3233 VOG           320      0    0.00    0.00 445751N 0085813E  102132  320 320 000   000 0.00     0 031  0  0 FWEST  31         0.0   55288                                          
3090 Flight_Time: 00:00:00 , Distance: 000.0, Fuel_Burn: 0.00
3100   101800  LLC4537 B733                    B733                              
3101           LLC4537         LIPE                                              
3102           LLC4537         LGMK                                              
3103           LLC4537 S ISM   0316/A  C  M   A100     330                       
3104           LLC4537         330                                               
3233 point route   rfl rrrrrr xxxxxxx yyyyyyy latitud longitud  hhmmss  afl cfl tas > cas mach  rate hdg co ns sector co_team  dist    mass  applied_constraint_1 applied_constraint_2
3233 LIPE          330      0    0.00    0.00 443150N 0111732E  101800  100 330 345   300 0.54     0 348  0  0 FLOW   34         0.4   49786                                          
3233 BOA           330      0    0.00    0.00 443212N 0111726E  101804  100 330 348   300 0.55     0 348  0  0 FLOW   34        37.5   49761                                          
3233 VALEN         330      0    0.00    0.00 435617N 0113209E  102350  249 330 432   300 0.72     0 148  0  0 FLOW   34        17.4   49260                                          
3233 VERNA         330      0    0.00    0.00 434430N 0114954E  102612  290 330 449   291 0.76     0 132  0  0 FLOW   34         6.2   49097                                          
3233 -SEC-         330      0    0.00    0.00 434019N 0115615E  102702  306 330 446   282 0.76     0 132  0  0 STS    15 16     11.1   49045                                          
3233 +GEO          330      0    0.00    0.00 433251N 0120736E  102832  330 330 430   261 0.74     0 132  0  0 STS    15 16     59.3   48963                                          
3233 PREKI         330      0    0.00    0.00 425239N 0130710E  103646  330 330 430   261 0.74     0 126  0  0 FEAST  33         1.0   48660                                          
3233 +GEO          330      0    0.00    0.00 425209N 0130820E  103655  330 330 430   261 0.74     0 119  0  0 FEAST  33        53.0   48652                                          
3233 PES           330      0    0.00    0.00 422610N 0141103E  104417  330 330 000   000 0.00     0 120  0  0 FEAST  33         0.0   48652                                          
3090 Flight_Time: 00:00:00 , Distance: 000.0, Fuel_Burn: 0.00
3100   101805  ELY008A B744                    B744                              
3101           ELY008A         KJFK                                              
3102           ELY008A         LLBG                                              
3103           ELY008A S ISH   0201/A  C  M   A370     370                       
3104           ELY008A         370                                               
3233 point route   rfl rrrrrr xxxxxxx yyyyyyy latitud longitud  hhmmss  afl cfl tas > cas mach  rate hdg co ns sector co_team  dist    mass  applied_constraint_1 applied_constraint_2
3233 TRA           370      0    0.00    0.00 474121N 0082611E  101805  370 370 482   274 0.84     0 121  0  0 FNORT  32        19.8  261128                                          
3233 KUDES         370      0    0.00    0.00 473114N 0085124E  102032  370 370 482   274 0.84     0 118  0  0 FNORT  32        15.4  260758                                          
3233 DEGES         370      0    0.00    0.00 472450N 0091207E  102227  370 370 482   274 0.84     0 103  0  0 FNORT  32        18.3  260453                                          
3233 VEBEG         370      0    0.00    0.00 472427N 0093909E  102444  370 370 482   274 0.84     0 095  0  0 FNORT  32        16.3  260125                                          
3233 YLITL         370      0    0.00    0.00 472123N 0100243E  102645  370 370 482   274 0.84     0 101  0  0 FNORT  32        10.1  259794                                          
3233 MADEB         370      0    0.00    0.00 471926N 0101719E  102801  370 370 482   274 0.84     0 101  0  0 FNORT  32        11.5  259610                                          
3233 ELMEM         370      0    0.00    0.00 471642N 0103348E  102927  370 370 482   274 0.84     0 127  0  0 FNORT  32         7.7  259384                                          
3233 BILDU         370      0    0.00    0.00 471011N 0103942E  103025  370 370 482   274 0.84     0 155  0  0 FNORT  32         9.4  259273                                          
3233 OTRES         370      0    0.00    0.00 470123N 0104433E  103135  370 370 482   274 0.84     0 159  0  0 NTT    5 6       16.2  259067                                          
3233 GIRIS         370      0    0.00    0.00 464620N 0105310E  103335  370 370 482   274 0.84     0 147  0  0 NTT    5 6       25.8  258787                                          
3233 BZO           370      0    0.00    0.00 462745N 0111909E  103648  370 370 482   274 0.84     0 149  0  0 NTT    5 6       51.8  258304                                          
3233 VIC           370      0    0.00    0.00 453816N 0114040E  104314  370 370 482   274 0.84     0 153  0  0 NTT    5 6       42.4  257360                                          
3233 CHI           370      0    0.00    0.00 450436N 0121709E  104831  370 370 482   274 0.84     0 121  0  0 NTT    5 6       34.6  256557                                          
3233 LABIN         370      0    0.00    0.00 445907N 0130528E  105249  370 370 482   274 0.84     0 093  0  0 FEAST  33        35.5  255923                                          
3233 PUL           370      0    0.00    0.00 445316N 0135451E  105714  370 370 482   274 0.84     0 120  0  0 FEAST  33       141.6  255277                                          
3233 TIBLA         370      0    0.00    0.00 430427N 0160023E  111451  370 370 000   000 0.00     0 138  0  0 FEAST  33         0.0  255277                                          
3090 Flight_Time: 00:00:00 , Distance: 000.0, Fuel_Burn: 0.00
3100   101810  AFR556A B736                    B736                              
3101           AFR556A         LIPZ                                              
3102           AFR556A         LFLL                                              
3103           AFR556A S ISM   0032/A  C  M   A150     310                       
3104           AFR556A         310                                               
3233 point route   rfl rrrrrr xxxxxxx yyyyyyy latitud longitud  hhmmss  afl cfl tas > cas mach  rate hdg co ns sector co_team  dist    mass  applied_constraint_1 applied_constraint_2
3233 LIPZ          310      0    0.00    0.00 453000N 0122100E  101810  150 310 347   280 0.55     0 186  0  0 FLOW   34        25.9   52296                                          
3233 CHI           310      0    0.00    0.00 450419N 0121639E  102216  261 310 414   280 0.69     0 203  0  0 FLOW   34        12.0   51930                                          
3233 GOREP         310      0    0.00    0.00 445505N 0120557E  102358  295 310 436   280 0.74     0 220  0  0 FLOW   34         4.9   51810                                          
3233 -SEC-         310      0    0.00    0.00 445121N 0120133E  102438  306 310 444   280 0.76     0 220  0  0 STS    15 16      2.5   51766                                          
3233 +GEO          310      0    0.00    0.00 444929N 0115920E  102458  310 310 444   280 0.76     0 220  0  0 STS    15 16     21.2   51749                                          
3233 ARGEX         310      0    0.00    0.00 443329N 0113956E  102750  310 310 444   280 0.76     0 243  0  0 STS    15 16     16.1   51636                                          
3233 BOA           310      0    0.00    0.00 443212N 0111726E  103000  310 310 444   280 0.76     0 267  0  0 STS    15 16     29.7   51555                                          
